Var1,Var2
EX_glygn2[e],Exchange/demand reactions
EX_glygn4[e],Exchange/demand reactions
EX_glyhisasn[e],Exchange/demand reactions
EX_glyhislys[e],Exchange/demand reactions
EX_glylyscys[e],Exchange/demand reactions
EX_glylysphe[e],Exchange/demand reactions
EX_glytyrlys[e],Exchange/demand reactions
EX_glyvalhis[e],Exchange/demand reactions
EX_gm1_hs[e],Miscellaneous
EX_gm1b_hs[e],Miscellaneous
EX_gm3_hs[e],Exchange/demand reactions
EX_gt1b_hs[e],Miscellaneous
EX_gudca3s[e],Exchange/demand reactions
EX_h2co3[e],Exchange/demand reactions
EX_hLkynr[e],Exchange/demand reactions
EX_hca24g[e],Exchange/demand reactions
EX_hca6g[e],Exchange/demand reactions
EX_hdca24g[e],Exchange/demand reactions
EX_hdca6g[e],Exchange/demand reactions
EX_hdca[e],Exchange/demand reactions
EX_hdcea[e],Exchange/demand reactions
EX_hdcecrn[e],Exchange/demand reactions
EX_hdd2crn[e],Exchange/demand reactions
EX_hexc[e],Exchange/demand reactions
EX_hisargcys[e],Exchange/demand reactions
EX_hisargser[e],Exchange/demand reactions
EX_hisasp[e],Exchange/demand reactions
EX_hiscyscys[e],Exchange/demand reactions
EX_hisglnala[e],Exchange/demand reactions
EX_hisglu[e],Exchange/demand reactions
EX_hisglugln[e],Exchange/demand reactions
EX_hisglylys[e],Exchange/demand reactions
EX_hishislys[e],Exchange/demand reactions
EX_hislysala[e],Exchange/demand reactions
EX_hislysglu[e],Exchange/demand reactions
EX_hislysile[e],Exchange/demand reactions
EX_hislysthr[e],Exchange/demand reactions
EX_hislysval[e],Exchange/demand reactions
EX_hismet[e],Exchange/demand reactions
EX_hismetgln[e],Exchange/demand reactions
EX_hisphearg[e],Exchange/demand reactions
EX_hisprolys[e],Exchange/demand reactions
EX_hista[e],Exchange/demand reactions
EX_histrphis[e],Exchange/demand reactions
EX_hpdca[e],Exchange/demand reactions
EX_hyochol[e],Exchange/demand reactions
EX_ibup_R[e],Exchange/demand reactions
EX_icdchol[e],Exchange/demand reactions
EX_ileargile[e],Exchange/demand reactions
EX_ileasnhis[e],Exchange/demand reactions
EX_ileasp[e],Exchange/demand reactions
EX_ileglnglu[e],Exchange/demand reactions
EX_ileglyarg[e],Exchange/demand reactions
EX_ileprolys[e],Exchange/demand reactions
EX_ileserarg[e],Exchange/demand reactions
EX_iletrptyr[e],Exchange/demand reactions
EX_isochol[e],Exchange/demand reactions
EX_lca24g[e],Exchange/demand reactions
EX_lca3g[e],Exchange/demand reactions
EX_lca3s[e],Exchange/demand reactions
EX_leualaarg[e],Exchange/demand reactions
EX_leuasnasp[e],Exchange/demand reactions
EX_leuasplys[e],Exchange/demand reactions
EX_leuleutrp[e],Exchange/demand reactions
EX_leupro[e],Exchange/demand reactions
EX_leuproarg[e],Exchange/demand reactions
EX_leusertrp[e],Exchange/demand reactions
EX_leutrp[e],Exchange/demand reactions
EX_leutrparg[e],Exchange/demand reactions
EX_leutyrtyr[e],Exchange/demand reactions
EX_leuval[e],Exchange/demand reactions
EX_lgnc[e],Exchange/demand reactions
EX_lneldc[e],Exchange/demand reactions
EX_lneldccrn[e],Exchange/demand reactions
EX_lnlncg[e],Exchange/demand reactions
